id_proyecto,proyecto,grupo,promotor_razon_social,provincia,municipios,situacion,primer_tramite,ultimo_tramite,n_tramites,n_tramites_oficiales,fiabilidad_maxima,potencia_electrica_mw,potencia_informatica_mw,potencia_transformacion_mva,detalle_potencia,nudo_de_conexion,superficie_ha,superficie_construida_m2,inversion_expediente_meur,inversion_anunciada_meur,origen_inversion,pem_electrico_eur,ids_expedientes,doc_urbanistico,doc_ambiental,doc_electrico,doc_interes_autonomico,doc_municipal,doc_patrimonial,notas,potencia_demanda_mva,expedientes_enlazados
CA-P02,Expediente CLF-02,,,Zamora,Monfarracinos,,2026-08-05,2026-08-05,1,1,OFICIAL,,200.0,,"Informatica: 200 MW IT declarados, segun 003-26-AAZA_Monfarracinos_EG1823_AAI_Data_Center_Resumen_no_tecnico.pdf",,,,,,,,CLF-02,,https://bocyl.jcyl.es/boletines/2026/08/05/pdf/BOCYL-D-05082026-150-18.pdf,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
CT-P01,Expediente CTF-01,,,Barcelona,Barcelona,,,,1,1,OFICIAL,,,,,,,,,,,,CTF-01,,https://dogc.gencat.cat/es/document-del-dogc/?documentId=1009474,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
CT-P02,Expediente CTF-02,,,Barcelona,Barcelona,,,,1,1,OFICIAL,,,,,,,,,,,,CTF-02,,https://dogc.gencat.cat/es/document-del-dogc/?documentId=1044575,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
EX-P01,Expediente EXF-01,,,Cáceres,Cáceres,,2024-09-02,2024-09-02,1,1,OFICIAL,,,,,,,52608.0,,,,,EXF-01,https://doe.juntaex.es/pdfs/doe/2024/1700o/1700o.pdf,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
EX-P02,Expediente EXF-02,,,Cáceres,Cáceres,,2024-10-18,2024-10-18,1,1,OFICIAL,,,,,,,99304.91,,,,,EXF-02,,https://doe.juntaex.es/pdfs/doe/2024/2040o/2040o.pdf,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
EX-P03,Expediente EXF-03,,,Cáceres,Navalmoral de la Mata,,2026-05-18,2026-05-18,1,1,OFICIAL,,,,,,,206752.0,,,,,EXF-03,,,,,https://doe.juntaex.es/pdfs/doe/2026/930o/930o.pdf,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
GA-P02,Expediente GAF-02,,,A Coruña,Santiago de Compostela,,2025-08-08,2025-08-08,1,1,OFICIAL,,,,,,,,,,,,GAF-02,,,,,https://www.xunta.gal/dog/Publicados/2025/20250808/AnuncioG0761-050825-0006_es.pdf,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
IB-P01,Expediente IBF-01,,,Illes Balears,Palma,,2020-07-16,2020-07-16,1,1,OFICIAL,,,,,,,,,,,,IBF-01,,https://www.caib.es/eboibfront/pdf/es/2020/126/6242,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
IB-P02,Expediente IBF-02,,,Illes Balears,Palma,,2021-11-16,2021-11-16,1,1,OFICIAL,,,,,,,0.3,,,,,IBF-02,,https://www.caib.es/eboibfront/pdf/es/2021/158/11667,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
IB-P03,Expediente IBF-03,,,Illes Balears,Palma,,2026-05-05,2026-05-05,1,1,OFICIAL,,,,,,,0.5,,,,,IBF-03,,https://www.caib.es/eboibfront/pdf/es/2026/57/4336,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
