id_proyecto,proyecto,ccaa_o_provincia,via,mw_informaticos,mw_electricos,mva_transformacion,mva_demanda,autoabastecido,inversion_anunciada_meur
AR-P01-2,"Amazon Data Services, Spain - El Burgo de Ebro, El Burgo de Ebro y Zaragoza- La Cartuja, Huesca",Zaragoza,sin_potencia,,,,,0,
AR-P01-3,"Amazon Data Services, Spain - El Burgo de Ebro, Huesca, Villanueva de Gállego",Zaragoza,sin_potencia,,,,,0,
AR-P02,Amazon Web Services - El Burgo de Ebro,Zaragoza,sin_potencia,,,,,0,
AR-P04-2,"Axent Infraestructuras de Telecomunicaciones - El Burgo de Ebro, Zaragoza",Zaragoza,sin_potencia,,,,,0,
AS-P02,Ayuntamiento de Salas - Salas,Asturias,sin_potencia,,,,,0,
AR-P09-2,"B2B Axis East 3 - Cariñena, Épila",Zaragoza,sin_potencia,,,,,0,
CM-P09,Box2Bit Axis South - Recas,Toledo,sin_potencia,,,,,0,
AR-P03-2,Búfalo,Zaragoza,sin_potencia,,,,,0,
AR-P13,Búfalo,Zaragoza,sin_potencia,,,,,0,
AR-P08-2,Calanza Inmuebles - Calatorao,Zaragoza,sin_potencia,,,,,0,
CA-P03,Centro de Proceso de Datos San Lorenzo,Valladolid,electrica_declarada,,231.2,,,0,
MA-P15,Cignus P2DC - Daganzo de Arriba,Madrid,sin_potencia,,,,,0,
AR-P10-2,Clave Logística Aragonesa - Villamayor de Gállego,Zaragoza,sin_potencia,,,,,0,
MA-P08,DATA 4 Castilla - San Agustin del Guadalix,Madrid,sin_potencia,,,,,0,
CM-P07,DC Estate Vianos - Vianos,Albacete,informatica_declarada,300.0,,,,1,
AR-P12,"Data Center Ribera del Ebro - Luceni, Plasencia de Jalón, Rueda de Jalón",Zaragoza,sin_potencia,,,,,0,
MA-P03,Data Holding Future - Alcala de Henares,Madrid,sin_potencia,,,,,0,
MA-P09,"Data4 Infrastructure Spain - Algete, El Molar, Fuente el Saz de Jarama",Madrid,sin_potencia,,,,,0,
